info,job_position_info,name,position
"
本科以上 , 全职
",,"
电路板开发工程师
","
合肥
"
"
本科以上 , 全职
",,"
PC产品项目管理
","
合肥
"
"
本科以上 , 5年以上 , 全职 , 12.0-18.0万元
",,"
测试工程师
","
合肥
"
"
本科以上 , 全职
",,"
IoT产品经理
","
合肥
"
"
本科以上 , 全职
",,"
IoT产品项目管理
","
合肥
"
"
本科以上 , 全职
",,"
新技术应用工程师
","
合肥
"
"
博士以上 , 全职
",,"
工业控制工程师
","
合肥
"
"
本科以上 , 3年以上 , 全职
",,"
信息安全工程师
","
深圳
"
"
大专以上 , 5年以上 , 全职 , 18.0-24.0万元
",,"
返修主管
","
深圳
"
"
本科以上 , 5-10年 , 全职 , 25000-45000元
",,"
高级测试工程师
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
知识库工程师
","
深圳
"
"
本科以上 , 1年以下 , 全职 , 4000-6000元
",,"
客服专员 助理
","
西安
"
"
本科以上 , 3年以上 , 全职
",,"
硬件工程师
","
深圳
"
"
本科以上 , 3-5年 , 全职 , 20000-40000元
",,"
web前端工程师
","
深圳
"
"
本科以上 , 5年以上 , 全职 , 30.0-42.0万元
",,"
工程经理
","
深圳
"
"
本科以上 , 1年以上 , 全职
",,"
嵌入式软件工程师
","
深圳
"
"
本科以上 , 7年以上 , 全职
",,"
成本合约经理
","
深圳
"
"
本科以上 , 3-5年 , 全职 , 18000-36000元
",,"
高级C++开发工程师
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
系统安全工程师
","
上海
"
"
硕士以上 , 全职
",,"
感知算法工程师
","
深圳
"
"
本科以上 , 5年以上 , 全职
",,"
采购主管
","
深圳
"
"
本科以上 , 全职
",,"
预期功能安全工程师
","
深圳
"
"
本科以上 , 5年以上 , 全职
",,"
财务部-内控经理
","
杭州
"
"
本科以上 , 6年以上 , 全职
",,"
社交运营主管
","
广州
"
"
本科以上 , 3-5年 , 全职 , 20000-30000元
",,"
在线教育产品推广经理
","
北京
"
"
本科以上 , 2年以上 , 全职
",,"
出纳
","
北京
"
"
本科以上 , 1年以下 , 实习 , 2000-3000元
",,"
视频设计实习生
","
广州
"
"
本科以上 , 5-10年 , 全职 , 28000-40000元
",,"
测试专家
","
杭州
"
"
本科以上 , 2年以上 , 全职 , 18.0-30.0万元
",,"
Web前端开发工程师
","
广州
"
"
本科以上 , 1年以上 , 全职
",,"
APP交互设计师
","
广州
"
"
本科以上 , 6年以上 , 全职
",,"
资深java开发工程师
","
杭州
"
"
本科以上 , 1年以下 , 实习 , 2000-3000元
",,"
游戏特效设计实习生
","
广州
"
"
本科以上 , 6年以上 , 全职
",,"
资深游戏动作设计师 - 雷火事业部002
","
杭州
"
"
本科以上 , 3年以上 , 全职
",,"
资深游戏开发工程师
","
广州
"
"
本科以上 , 1-3年 , 全职 , 15000-25000元
",,"
剧情策划 梦幻西游手游
","
广州
"
"
本科以上 , 1-3年 , 全职 , 15000-25000元
",,"
剧情策划 女性向
","
广州
"
"
全职 , 18.0-30.0万元
",,"
高级广告平面设计师
","
上海
"
"
本科以上 , 2年以上 , 全职 , 9.6-24.0万元
",,"
测试工程师
","
湖州
"
"
本科以上 , 3年以上 , 全职 , 9.6-18.0万元
",,"
会计
","
北京
"
"
本科以上 , 3年以上 , 全职 , 9.6-19.2万元
",,"
前端开发工程师
","
长沙
"
"
本科以上 , 10年以上 , 全职 , 84.0-120.0万元
",,"
研究院院长
","
邵阳
"
"
本科以上 , 全职 , 4.8-7.2万元
",,"
外联经理
","
苏州
"
"
全职 , 4.8-7.2万元
",,"
护卫
","
长沙
"
"
本科以上 , 3年以上 , 全职 , 13.0-15.6万元
",,"
供应商质量管理经理
","
苏州
"
"
硕士以上 , 3年以上 , 全职 , 21.0-35.0万元
",,"
机器人应用工程师
","
长沙
"
"
全职 , 6-8千/月
",,"
律师
","
长沙
"
"
本科以上 , 5年以上 , 全职 , 16.9-23.4万元
",,"
IT采购经理
","
长沙
"
"
本科以上 , 全职 , 7.8-15.6万元
",,"
供应商管理工程师
","
长沙
"
"
本科以上 , 5年以上 , 全职 , 14.4-21.6万元
",,"
刀具采购经理
","
长沙
"
"
本科以上 , 5年以上 , 全职 , 16.9-23.4万元
",,"
钢材采购经理
","
长沙
"
"
本科以上 , 5-7年经验 , 全职 , 0.8-1.3万/月
",,"
基建采购经理
","
长沙
"
"
本科以上 , 3年以上 , 全职 , 15.6-26.0万元
",,"
底盘工程师
","
长沙
"
"
本科以上 , 3-5年 , 全职 , 10000-20000元
",,"
平台运营
","
上海
"
"
本科以上 , 3-5年 , 全职 , 10000-18000元
",,"
制作编辑
","
上海
"
"
本科以上 , 5-10年 , 全职 , 30000-50000元
",,"
Android架构师
","
上海
"
"
本科以上 , 5-10年 , 全职 , 30000-50000元
",,"
iOS架构师
","
上海
"
"
本科以上 , 3-5年 , 全职 , 15000-30000元
",,"
CDN开发工程师
","
上海
"
"
本科以上 , 3年以上 , 全职 , 24.0-48.0万元
",,"
高级服务端工程师
","
上海
"
"
本科以上 , 3年以上 , 全职 , 18.0-30.0万元
",,"
后端开发工程师
","
上海
"
"
5-10年 , 全职 , 20000-40000元
",,"
资深前端开发工程师
","
上海
"
"
本科以上 , 全职 , 7000-12000元
",,"
法务专员
","
上海
"
"
3-5年 , 全职 , 10000-15000元
",,"
采购经理
","
上海
"
"
本科以上 , 1-3年 , 全职 , 8000-15000元
",,"
专栏运营
","
上海
"
"
1-3年 , 全职 , 7000-10000元
",,"
游戏运营
","
上海
"
"
本科以上 , 3-5年 , 全职 , 15000-30000元
",,"
高级Java开发工程师
","
上海
"
"
本科以上 , 3-5年 , 全职 , 15000-30000元
",,"
高级测试工程师
","
上海
"
"
本科以上 , 2年以上 , 全职
",,"
内容运营
","
上海
"
"
本科以上 , 3-4年经验 , 全职 , 15-30万/月
",,"
体系主管 体系工程师
","
佛山
"
"
本科以上 , 3-4年经验 , 全职 , 25-35万/月
",,"
成品质量经理
","
佛山
"
"
大专以上 , 3-4年经验 , 全职 , 15-30万/月
",,"
供应商管理工程师
","
佛山
"
"
本科以上 , 3-4年经验 , 全职 , 15-30万/月
",,"
测量工程师
","
佛山
"
"
本科以上 , 3-5年 , 全职 , 20000-40000元
",,"
机器视觉工程师
","
佛山
"
"
本科以上 , 全职 , 20000-40000元
",,"
图像处理工程师
","
广州
"
"
本科以上 , 5-10年 , 全职 , 20000-40000元
",,"
机器视觉
","
佛山
"
"
3-5年 , 全职 , 15000-30000元
",,"
算法工程师
","
佛山
"
"
大专以上 , 3-4年经验 , 全职 , 15-30万/月
",,"
智能制造工程师
","
佛山
"
"
硕士以上 , 3-5年 , 全职 , 20000-40000元
",,"
机器视觉
","
东莞
"
"
硕士以上 , 1年以下 , 全职 , 12000-14000元
",,"
运动控制算法
","
佛山
"
"
硕士以上 , 3-5年 , 全职 , 18000-36000元
",,"
调度算法
","
广州
"
"
大专以上 , 应届毕业生 , 全职 , 5-7千/月
",,"
人事专员
","
佛山
"
"
本科以上 , 3-4年经验 , 全职 , 15-30万/月
",,"
信息技术工程师
","
佛山
"
"
本科以上 , 1-3年 , 全职 , 15000-30000元
",,"
C++开发工程师
","
佛山
"
"
本科以上 , 5-10年 , 全职 , 35000-70000
",,"
21062-游戏引擎渲染工程师
","
上海
"
"
本科以上 , 2年以上 , 全职
",,"
WXG10-212 企业微信行业产品经理
","
成都
"
"
本科以上 , 3年以上 , 全职
",,"
18436-大数据开发工程师-数据仓库方向
","
深圳
"
"
本科以上 , 5年以上 , 全职
",,"
CSIG17-腾讯汽车云高级测试工程师
","
北京
"
"
本科以上 , 3年以上 , 全职
",,"
26787-应用市场商务合作经理
","
深圳
"
"
全职
",,"
52635-32032-高级游戏策划
","
上海
"
"
本科以上 , 5-7年经验 , 全职
",,"
23486-金融业务产品总监
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
17467-QQ浏览器营销增长经理
","
深圳
"
"
本科以上 , 8年以上 , 全职
",,"
TEG02-SDWAN架构师
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
52262-TEG04-码客社区设计师
","
深圳
"
"
本科以上 , 8年以上 , 全职
",,"
22989-腾讯云云市场产品中心总监
","
深圳
"
"
本科以上 , 5年以上 , 全职
",,"
52086-S2-S系统财务管理
","
深圳
"
"
本科以上 , 3-5年 , 全职 , 18000-35000元
",,"
设计研发工程师
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
TEG02-光网络控制系统高级研发工程师
","
深圳
"
"
本科以上 , 3年以上 , 全职
",,"
30933-开放世界游戏-手游服务器开发工程师
","
深圳
"
"
5年以上 , 全职
",,"
大文娱优酷-商家运营专家
","
杭州
"
"
5年以上 , 全职
",,"
云智能基础产品事业部-网络产品-云网络控制面研发专家-杭州北京
","
杭州
"
"
本科以上 , 全职 , 30000-60000元
",,"
Java技术专家
","
上海
"
"
本科以上 , 2年以上 , 全职 , 32.0-64.0万元
",,"
蚂蚁金服-Java研发专家
","
上海
"
"
1年以上 , 全职
",,"
银泰商业-视觉设计师
","
杭州
"
"
本科以上 , 1年以下 , 全职 , 15000-30000元
",,"
java高级开发工程师
","
杭州
"
"
本科以上 , 3-5年 , 全职 , 25000-50000元
",,"
风控高级工程师及专家编辑编辑
","
杭州
"
"
5年以上 , 全职
",,"
阿里集团-海外内容运营专家-质量策略方向
","
杭州
"
"
本科以上 , 3年以上 , 全职 , 12.0-36.0万元
",,"
跨境贸易客户经理
","
宁波
"
"
3年以上 , 全职
",,"
阿里云智能-国际产品市场经理 -北京杭州
","
杭州
"
"
本科以上 , 4年以上 , 全职
",,"
供应链平台事业部-高级开发工程师技术专家-库存健康
","
杭州
"
"
5年以上 , 全职
",,"
阿里云智能事业群-全球生态业务部-全球咨询合作BD
","
杭州
"
"
本科以上 , 5-7年工作经验 , 全职
",,"
CBU技术部-无线技术专家-ios方向
","
杭州
"
"
5年以上 , 全职
",,"
Enterprise Intelligence Business Unit-IT Manager-Paris
","
杭州
"
"
本科以上 , 8年以上 , 全职
",,"
阿里健康-处方药仓物流经理-杭州
","
杭州
"
"
大专以上 , 全职 , 30000-40000元
",,"
广告增值负责人
","
无锡
"
"
大专以上 , 全职 , 20000-28000元
",,"
广告优化总监
","
无锡
"
"
大专以上 , 3-5年 , 全职 , 11000-15000元
",,"
广告优化经理
","
无锡
"
"
本科以上 , 3-5年 , 全职 , 15000-30000元
",,"
PGC行业运营经理
","
北京
"
"
本科以上 , 实习
",,"
国际化HRBP实习生
","
北京
"
"
本科以上 , 3-5年 , 全职 , 15000-30000元
",,"
政务用户运营经理
","
北京
"
"
本科以上 , 全职 , 20000-30000元
",,"
业务安全经理
","
北京
"
"
本科以上 , 全职
",,"
Recruitment Operation Expert
","
北京
"
"
本科以上 , 5年以上 , 全职
",,"
资深视觉运营设计师
","
北京
"
"
本科以上 , 3年以上 , 全职
",,"
资深高级用户研究
","
深圳
"
"
本科以上 , 7年以上 , 全职
",,"
产业项目前期负责人
","
北京
"
"
大专以上 , 5-7年经验 , 全职 , 2-4万/月
",,"
城市经理
","
昆明
"
"
本科以上 , 3年以上 , 全职
",,"
直播产品经理-付费策略方向
","
北京
"
"
大专以上 , 1-3年 , 全职 , 5000-7000元
",,"
中小企业广告面销
","
滨州
"
"
本科以上 , 7年以上 , 全职
",,"
经营分析部总监
","
北京
"
"
本科以上 , 3-4年经验 , 全职 , 0.8-1万/月
",,"
财务主管
","
萍乡
"
"
全职 , 5000-10000元
",,"
家政员 保姆 月嫂 育婴师
","
深圳
"
"
1-3年 , 全职 , 8000以上
",,"
月嫂
","
深圳
"
"
全职 , 5000-10000元
",,"
家政前台经理 文员
","
深圳
"
"
1-3年 , 全职
",,"
前台客服
","
深圳
"
"
1-3年 , 全职 , 8000以上
",,"
网络推广员
","
深圳
"
"
1-3年 , 全职 , 5000-8000
",,"
家教
","
深圳
"
"
全职 , 面谈
",,"
店长
","
深圳
"
"
1-3年 , 兼职 , 8000以上
",,"
月嫂培训育婴师培训
","
深圳
"
"
1-3年 , 全职 , 5000-8000
",,"
育婴师幼教早教
","
深圳
"
"
1-3年 , 全职
",,"
客服老师
","
深圳
"
"
1-3年 , 兼职 , 5000-8000
",,"
保姆
","
深圳
"
company,info,job_position_info,name,position
阳光旅行家,"
本科以上 , 应届毕业生 , 全职 , 8千-1.5万
",,"
旅游定制咨询顾问
","
北京
"
阳光旅行家,"
中专以上 , 1-3年 , 全职 , 3.5千-6千
",,"
400客服专员
","
北京
"
